"id","parent_id","root_id"
"1788","3787","8"
"1789","6075","8"
"1790","6031","8"
"1792","658","8"
"1793","1189","8"
"1794","1383","8"
"1796","3423","8"
"1797","6138","8"
"1798","6040","8"
"1799","4439","8"
"1801","4439","8"
"1802","1189","8"
"1803","726","8"
"1804","726","8"
"1805","6048","8"
"1806","6092","8"
"1808","1605","8"
"1809","1161","8"
"1811","6095","8"
"1812","6149","8"
"1813","1279","8"
"1814","6014","8"
"1815","258","8"
"1816","6095","8"
"1817","6140","8"
"1819","1422","8"
"1820","3795","8"
"1821","6294","8"
"1822","3795","8"
"1823","876","6"
"1824","2535","8"
"1825","3756","8"
"1826","10161","8"
"1827","6013","8"
"1828","6098","8"
"1829","3737","8"
"1830","6110","8"
"1840","228","6"
"1841","74","8"
"1842","3787","8"
"1843","6115","8"
"1844","1605","8"
"1845","2733","8"
"1847","1856","8"
"1848","74","8"
"1849","627","8"
"1850","3831","8"
"1852","6017","8"
"1854","6136","8"
"1855","1295","8"
"1856","1293","8"
"1857","1887","8"
"1858","3803","8"
"1859","279","8"
"1860","6061","8"
"1861","254","8"
"1862","2813","8"
"1863","738","8"
"1864","6138","8"
"1866","5559","8"
"1867","6118","8"
"1869","18315","8"
"1872","1014","8"
"1873","6117","8"
"1874","1361","8"
"1876","6147","8"
"1878","6115","8"
"1879","472","8"
"1880","6102","8"
"1881","1159","8"
"1882","1935","8"
"1884","3421","8"
"1885","738","8"
"1886","738","8"
"1887","1159","8"
"1888","6075","8"
"1889","3696","8"
"1890","3795","8"
"1891","3795","8"
"1892","6075","8"
"1893","3743","8"
"1894","3730","8"
"1895","3729","8"
"1896","1897","8"
"1897","279","8"
"1898","612","8"
"1899","1240","8"
"1900","1729","8"
"1901","1998","8"
"1902","324","8"
"1904","3723","8"
"1906","3932","8"
"1908","1938","8"
"1909","2968","8"
"1912","3696","8"
"1913","270","8"
"1914","2580","8"
"1915","1916","8"
"1916","658","8"
"1917","1998","8"
"1918","1240","8"
"1919","1189","8"
"1921","657","8"
"1922","1422","8"
