"movie_id","runtime","budget","revenue","homepage"
"812","90","28000000","504050219","http://disney.go.com/disneyvideos/animatedfilms/aladdin/"
"813","88","3500000","83453539",""
"814","97","10000000","0",""
"815","91","23000000","0",""
"816","94","16500000","67683989",""
"817","95","33000000","310940086",""
"818","94","63000000","296633907","http://www.austinpowers.com/"
"819","147","0","165615285",""
"820","189","40000000","205405498",""
"821","186","0","0",""
"822","100","0","0",""
"823","102","0","0",""
"824","127","50000000","177677823",""
"825","121","20000000","3970078",""
"826","156","3000000","27200000",""
"827","107","0","0",""
"828","92","1200000","0",""
"829","131","0","29200000",""
"830","98","1900000","0",""
"831","87","800000","0",""
"832","117","0","0",""
"833","89","0","0",""
"834","105","50000000","111340801",""
"835","114","0","0",""
"836","115","0","0",""
"837","89","6000000","0",""
"838","110","777000","0",""
"839","74","450000","0",""
"840","135","20000000","303788635",""
"841","137","40000000","30925690",""
"842","95","0","3537961",""
"843","98","0","12854953","http://www.wkw-inthemoodforlove.com/"
"844","129","12000000","19271312","http://www.wkw2046.com/"
"845","101","1200000","0",""
"846","121","66000000","189198313",""
"847","126","35000000","0",""
"848","108","18000000","0",""
"849","117","0","0",""
"850","94","0","19294144",""
"851","86","0","0",""
"852","95","0","0",""
"853","130","0","0",""
"854","97","18000000","351392727",""
"855","144","92000000","172989651",""
"856","103","70000000","329803958",""
"857","163","70000000","481840909",""
"858","105","21000000","227799884",""
"859","119","14000000","0",""
"860","114","12000000","74000000","http://www.mgm.com/title_title.do?title_star=WARGAMES"
"861","113","65000000","261299840",""
"862","81","30000000","361958736",""
"863","92","90000000","485015179","http://disney.go.com/disneyvideos/animatedfilms/toystory/getflash.html"
"864","98","14000000","154864401",""
"865","101","27000000","38122105",""
"866","101","25000000","0","http://www.miramax.com/findingneverland/"
"867","107","0","116300000",""
"868","94","3000000","8893028","http://www.tsotsimovie.com/"
